"DATA","CASA","ITEM","QUANTIDADE","VALOR","FORNECEDOR","OBS. DE ENTREGA (NÃO RECEBEMOS 11H30 AS 14H00)","STATUS","VALOR TOTAL","R$ FIXO","INFLAÇÃO","VOL. MAX","ID","MAXIMO"
"27/07","MF - BETSY CNPJ: 43.672.862/0001-73 ","ACETO BALSAMICO 500ML","18,00","12,90","AVELINOS","TERÇA E QUARTA DAS 7H30 AS 11H30","CONFIRMADO","232,20","","","18","1098",""
"27/07","MF - BETSY CNPJ: 43.672.862/0001-73 ","ACUCAR REFINADO","30,00","2,59","KINGFOOD","TERÇA E QUARTA DAS 7H30 AS 11H30","CONFIRMADO","77,70","","","30","1099",""
"27/07","MF - BETSY CNPJ: 43.672.862/0001-73 ","AMIDO DE MILHO EM PO","1,00","5,47","DTK","TERÇA E QUARTA DAS 7H30 AS 11H30","CONFIRMADO","5,47","","","1","1100",""
"27/07","MF - BETSY CNPJ: 43.672.862/0001-73 ","ANEL DE CEBOLA CONGELADO KG","6,00","16,69","MULTIFOODS","TERÇA E QUARTA DAS 7H30 AS 11H30","CONFIRMADO","100,14","","","6","1101",""
"27/07","MF - BETSY CNPJ: 43.672.862/0001-73 ","ARROZ ARBORIO CAMIL KG","10,00","14,42","KINGFOOD","TERÇA E QUARTA DAS 7H30 AS 11H30","CONFIRMADO","144,20","","","10","1102",""
"27/07","MF - BETSY CNPJ: 43.672.862/0001-73 ","ARROZ TIPO1 5 KG CAMIL","20,00","4,29","DTK","TERÇA E QUARTA DAS 7H30 AS 11H30","CONFIRMADO","85,80","","","20","1103",""
"27/07","MF - BETSY CNPJ: 43.672.862/0001-73 ","AZEITE EXTRA VIRGEM 5L GALLO","2,00","252,99","MULTIFOODS","TERÇA E QUARTA DAS 7H30 AS 11H30","CONFIRMADO","505,98","","","2","1104",""
"27/07","MF - BETSY CNPJ: 43.672.862/0001-73 ","CASTANHA DO PARA","1,00","73,52","KINGFOOD","TERÇA E QUARTA DAS 7H30 AS 11H30","CONFIRMADO","73,52","","","1","1105",""
"27/07","MF - BETSY CNPJ: 43.672.862/0001-73 ","CATCHUP HEINZ 397G","12,00","10,99","DTK","TERÇA E QUARTA DAS 7H30 AS 11H30","CONFIRMADO","131,88","","","12","1106",""
"27/07","MF - BETSY CNPJ: 43.672.862/0001-73 ","ESPAGUETE GRANO DURO BARONIA N5","8,00","6,29","AVELINOS","TERÇA E QUARTA DAS 7H30 AS 11H30","CONFIRMADO","50,32","","","8","1107",""
"27/07","MF - BETSY CNPJ: 43.672.862/0001-73 ","FARINHA DE MANDIOCA FINA KG","4,00","4,92","KINGFOOD","TERÇA E QUARTA DAS 7H30 AS 11H30","CONFIRMADO","19,68","","","4","1108",""
"27/07","MF - BETSY CNPJ: 43.672.862/0001-73 ","FARINHA DE TRIGO PREMIUM ANACONDA","20,00","5,19","KINGFOOD","TERÇA E QUARTA DAS 7H30 AS 11H30","CONFIRMADO","103,80","","","20","1109",""
"27/07","MF - BETSY CNPJ: 43.672.862/0001-73 ","FARINHA PANKO ALFA KG","10,00","16,32","DTK","TERÇA E QUARTA DAS 7H30 AS 11H30","CONFIRMADO","163,20","","","","1110",""
"27/07","MF - BETSY CNPJ: 43.672.862/0001-73 ","FEIJAO CARIOCA CAMIL 1KG","4,00","9,29","KINGFOOD","TERÇA E QUARTA DAS 7H30 AS 11H30","CONFIRMADO","37,16","","","4","1111",""
"27/07","MF - BETSY CNPJ: 43.672.862/0001-73 ","GERGELIM BRANCO","1,00","16,62","KINGFOOD","TERÇA E QUARTA DAS 7H30 AS 11H30","CONFIRMADO","16,62","","","1","1112",""
"27/07","MF - BETSY CNPJ: 43.672.862/0001-73 ","GERGELIM PRETO","1,00","31,00","KINGFOOD","TERÇA E QUARTA DAS 7H30 AS 11H30","CONFIRMADO","31,00","","","1","1113",""
"27/07","MF - BETSY CNPJ: 43.672.862/0001-73 ","GORDURA VEGETAL COAMO 15,8L","3,00","158,99","MULTIFOODS","TERÇA E QUARTA DAS 7H30 AS 11H30","CONFIRMADO","476,97","","","3","1114",""
"27/07","MF - BETSY CNPJ: 43.672.862/0001-73 ","MACARRAO RIGATONE BARILLA","4,00","10,24","DTK","TERÇA E QUARTA DAS 7H30 AS 11H30","CONFIRMADO","40,96","","","4","1115",""
"27/07","MF - BETSY CNPJ: 43.672.862/0001-73 ","MEL ISIS POTE 1KG","2,00","36,88","KINGFOOD","TERÇA E QUARTA DAS 7H30 AS 11H30","CONFIRMADO","73,76","","","2","1116",""
"27/07","MF - BETSY CNPJ: 43.672.862/0001-73 ","MOSTARDA A LANCIENNE MAILLE 1kg","1,00","62,70","KINGFOOD","TERÇA E QUARTA DAS 7H30 AS 11H30","CONFIRMADO","62,70","","","1","1117",""
"27/07","MF - BETSY CNPJ: 43.672.862/0001-73 ","MOSTARDA DIJON MAILLE 865G","2,00","69,90","KINGFOOD","TERÇA E QUARTA DAS 7H30 AS 11H30","CONFIRMADO","139,80","","","2","1118",""
"27/07","MF - BETSY CNPJ: 43.672.862/0001-73 ","MOSTARDA GALAO CEPERA","1,00","23,99","DTK","TERÇA E QUARTA DAS 7H30 AS 11H30","CONFIRMADO","23,99","","","1","1119",""
"27/07","MF - BETSY CNPJ: 43.672.862/0001-73 ","OLEO DE SOJA 900ML","20,00","6,98","KINGFOOD","TERÇA E QUARTA DAS 7H30 AS 11H30","CONFIRMADO","139,60","","","20","1120",""
"27/07","MF - BETSY CNPJ: 43.672.862/0001-73 ","TOMATE PELADO INTEIRO OLE 2,5KG","15,00","29,99","MEGA G","TERÇA E QUARTA DAS 7H30 AS 11H30","CONFIRMADO","449,85","","","15","1121",""
"27/07","MF - BETSY CNPJ: 43.672.862/0001-73 ","CACAU EM PO SICAO100% 500G","2,00","45,80","DTK","TERÇA E QUARTA DAS 7H30 AS 11H30","CONFIRMADO","91,60","","","2","1122",""
"27/07","MF - BETSY CNPJ: 43.672.862/0001-73 ","CHOCOLATE AO LEITE BARRA 2,1","3,00","134,77","MEGA G","TERÇA E QUARTA DAS 7H30 AS 11H30","CONFIRMADO","404,31","","","3","1123",""
"27/07","MF - BETSY CNPJ: 43.672.862/0001-73 ","CHOCOLATE BRANCO BARRA 2,1","3,00","180,95","MEGA G","TERÇA E QUARTA DAS 7H30 AS 11H30","CONFIRMADO","542,85","","","3","1124",""
"27/07","MF - BETSY CNPJ: 43.672.862/0001-73 ","CHOCOLATE MEIO AMARGO BARRA 2,1","3,00","153,01","MEGA G","TERÇA E QUARTA DAS 7H30 AS 11H30","CONFIRMADO","459,03","","","3","1125",""
"27/07","MF - BETSY CNPJ: 43.672.862/0001-73 ","COCO RALADO SEM ACUCAR  KG","1,00","19,75","KINGFOOD","TERÇA E QUARTA DAS 7H30 AS 11H30","CONFIRMADO","19,75","","","1","1126",""
"27/07","MF - BETSY CNPJ: 43.672.862/0001-73 ","CREME CROCANTE OVOMALTINE BISNAGA 900G","3,00","58,83","MEGA G","TERÇA E QUARTA DAS 7H30 AS 11H30","CONFIRMADO","176,49","","","3","1127",""
"27/07","MF - BETSY CNPJ: 43.672.862/0001-73 ","DOCE DE LEITE 400G LA SERENISSIMA","12,00","14,20","DTK","TERÇA E QUARTA DAS 7H30 AS 11H30","CONFIRMADO","170,40","","","12","1128",""
"27/07","MF - BETSY CNPJ: 43.672.862/0001-73 ","LEITE CONDENSADO 2,6KG (MOÇA)","5,00","69,99","KINGFOOD","TERÇA E QUARTA DAS 7H30 AS 11H30","CONFIRMADO","349,95","","","5","1129",""
"27/07","MF - BETSY CNPJ: 43.672.862/0001-73 ","NEGRESCO TRITURADO","12,00","43,85","DTK","TERÇA E QUARTA DAS 7H30 AS 11H30","CONFIRMADO","526,20","","","12","1130",""
"27/07","MF - BETSY CNPJ: 43.672.862/0001-73 ","NOZES SEM CASCA 1KG","1,00","49,98","KINGFOOD","TERÇA E QUARTA DAS 7H30 AS 11H30","CONFIRMADO","49,98","","","1","1131",""
"27/07","MF - BETSY CNPJ: 43.672.862/0001-73 ","NUTELLA POTE 3KG","2,00","187,25","AVELINOS","TERÇA E QUARTA DAS 7H30 AS 11H30","CONFIRMADO","374,50","","","2","1132",""
"27/07","MF - BETSY CNPJ: 43.672.862/0001-73 ","OVOMALTINE FLOCOS","3,00","38,05","MEGA G","TERÇA E QUARTA DAS 7H30 AS 11H30","CONFIRMADO","114,15","","","","1133",""
"27/07","MF - BETSY CNPJ: 43.672.862/0001-73 ","CHIFERI ELBOWS 500G","3,00","10,89","DTK","TERÇA E QUARTA DAS 7H30 AS 11H30","CONFIRMADO","32,67","","","3","1134",""
"27/07","MF - BETSY CNPJ: 43.672.862/0001-73 ","PAO DE FORMA P FUNCIONARIOS","10,00","5,99","AVELINOS","TERÇA E QUARTA DAS 7H30 AS 11H30","CONFIRMADO","59,90","","","10","1135",""
"27/07","MF - BETSY CNPJ: 43.672.862/0001-73 ","SUCO CONCENTRADO MANGA MAGUARY 500ML","12,00","5,99","KINGFOOD","TERÇA E QUARTA DAS 7H30 AS 11H30","CONFIRMADO","71,88","","","12","1136",""
"27/07","VMB - OLIVIO CNPJ: 27.350.242/0001-61","FILE MIGNON RESFRIADO 5UP","15,00","84,99","MULTIFOODS","TERÇA A SEXTA DAS 10H00 AS 17H","CONFIRMADO","1.274,85","","","15","1137",""
"27/07","VMB - OLIVIO CNPJ: 27.350.242/0001-61","CHEDDAR PROCESSADO JAMMY","2,00","35,29","MULTIFOODS","TERÇA A SEXTA DAS 10H00 AS 17H","CONFIRMADO","70,58","","","2","1138",""
"27/07","VMB - OLIVIO CNPJ: 27.350.242/0001-61","IOGURTE NATURAL COPO 150G","12,00","3,30","AVELINOS","TERÇA A SEXTA DAS 10H00 AS 17H","CONFIRMADO","39,60","","","12","1139",""
"27/07","VMB - OLIVIO CNPJ: 27.350.242/0001-61","LEITE INTEGRAL UHT 1L","12,00","5,59","KINGFOOD","TERÇA A SEXTA DAS 10H00 AS 17H","CONFIRMADO","67,08","","","12","1140",""
"27/07","VMB - OLIVIO CNPJ: 27.350.242/0001-61","QUEIJO GORGONZOLA QUATA","3,00","57,49","MULTIFOODS","TERÇA A SEXTA DAS 10H00 AS 17H","CONFIRMADO","172,47","","","3","1141",""
"27/07","VMB - OLIVIO CNPJ: 27.350.242/0001-61","QUEIJO MUSSARELA SCALA","4,00","47,37","MEGA G","TERÇA A SEXTA DAS 10H00 AS 17H","CONFIRMADO","189,48","","","4","1142",""
"27/07","VMB - OLIVIO CNPJ: 27.350.242/0001-61","QUEIJO PARMESAO TIROLEZ KG","5,00","75,92","MEGA G","TERÇA A SEXTA DAS 10H00 AS 17H","CONFIRMADO","379,60","","","5","1143",""
"27/07","VMB - OLIVIO CNPJ: 27.350.242/0001-61","QUEIJO PRATO SCALA","3,50","52,57","MEGA G","TERÇA A SEXTA DAS 10H00 AS 17H","CONFIRMADO","184,00","","","4","1144",""
"27/07","VMB - OLIVIO CNPJ: 27.350.242/0001-61","REQUEIJAO BISNAGA SCALA 1,5","2,00","43,49","MULTIFOODS","TERÇA A SEXTA DAS 10H00 AS 17H","CONFIRMADO","86,98","","","2","1145",""
